Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,LGBTQ+ Rights,Poverty Rate (Percent of Population Under the Poverty Line),Prison Population Rate,"Drug Use (Death Rate Per 100,000)","Alcohol Use (Death Rate per 100,00)","Suicide Rate (Death Rate Per 100,000) "
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,296,0.001,53,5.49,7.22,13.78
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,312,0.001,68,3.38,7.1,9.17
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,340,0.0007,49,6.4,3.28,10.07
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,330,0.001,33,3.55,2.27,13.28
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,377,0.002,63,0.95,1.21,9.64
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,270,0.07,80,2.09,1.71,11.27
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,377,0.003,68,3.62,2.41,11.65
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,303,0.01,188,1.41,0.81,11.64
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,384,0.004,104,3.73,1.75,10.41
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,300,0.002,95,2.42,2.84,11.41
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,309,0.005,160,4.55,1.26,11.68
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,215,0.2,374,0.76,1.14,7.49
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,219,0.0002,234,0.67,0.65,5.23
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,269,0.004,83,1.23,2.02,10.43
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,346,0.001,130,3.72,1.4,7.64
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,296,0.001,74,3.88,1.36,10.86
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,254,0.004,69,2,4.5,9.06
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,351,0.001,95,1.87,2.59,15.74
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,276,0.002,639,10.81,2.6,13.67
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,159,0.002,179,1.53,2.28,10.54
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,369,0.0005,153,1.45,0.4,6.53
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,225,0.0004,166,0.85,3.24,5.16
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,339,0.002,93,1.7,3.64,12.1
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,255,0.007,210,0.6,2.15,9.72
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,36,0.59,139,1.85,10.82,2.94
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,-176,0.2,207,1.24,0.36,3.39
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,-137,0.6,53,0.73,0.44,5.84
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,343,0.0005,122,1.3,0.49,6.12
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,64,0.23,420,0.69,0.75,4.38
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,307,0.0005,357,0.84,4.2,6.14
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,341,0.09,337,0.79,1.72,16.48
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,20,0.12,185,0.25,0.15,7.91
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,105,0.32,572,0.51,18.54,13.54
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,170,0.0008,89,1.01,0.33,5.54
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,-15,0,234,0.87,0.62,5.65
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,171,0.004,190,0.88,2.31,10.15
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,79,0.2,292,0.86,1.6,12.89
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,61,0.0008,181,1.21,7.18,13.39
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,-70,0.14,68,1.14,0.78,7.36
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,138,0.0003,216,6.14,8.57,25.69
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,273,0.28,194,0.91,0.39,7
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,243,0.001,53,1.14,4.1,13.32
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,124,0.29,332,0.7,8.79,11.87
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,274,0.26,230,1.55,1.5,9.07
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,123,0.22,116,2.42,2.18,7.96
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,188,0.24,86,1.2,0.49,4.53
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,253,0.21,224,1.42,2.98,7.21
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,130,0.07,449,0.96,2.79,12.91
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,98,0.004,175,1.96,8.25,17.16
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,93,0.14,105,0.24,1.17,20.2
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,197,0.0006,173,7.19,11.4,14.37
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,-143,0.17,137,0.28,0.3,2.04
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,19,0.08,218,0.73,3.1,7.29
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,83,0,38,0.34,0.26,14.3
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,115,0.29,237,0.94,2.82,3.39
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,-1,0.02,157,4.66,4.62,22.79
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,245,0.38,164,2,4.09,12.89
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,131,0.001,169,0.66,2.78,13.57
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,40,0.22,241,0.44,3.5,9.29
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,211,0.22,290,2.25,1.55,5.08
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,359,0.0004,111,0.66,1.06,8.62
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,-89,0.29,38,0.75,0.67,3.08
